Sr. No.,Bank Code,Bank Name,MICR,IFSC,IIN,ACH CR,ACH DR,APBS,DSA,Bank Type
518,KCDX,THE KARNATAK CENTRAL CO-OPERATIVE BANK LTD DHARWAD,NA,KSCB0015001,607816,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
519,KCEX,THE KOTA CENTRAL COOP BANK LTD KOTA,324616002,RSCB0027001,508790,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
520,KCOB,THE KANGRA CO-OPERATIVE BANK LTD,110304001,KANG0000001,607710,Yes,Yes,Yes,THE KANGRA CO-OPERATIVE BANK LTD,Direct
521,KCUB,THE KHATTRI COOPERATIVE URBAN BANK LIMITED,110305002,YESB0KCUB01,990089,Yes,Yes,Yes,YES BANK,Indirect
522,KCUX,THE KANNUR CO-OP URBAN BANK LTD,670801002,IBKL0340KU1,508961,Yes,Yes,Yes,IDBI BANK,Indirect
523,KDBX,THE KARIMNAGAR DISTRICT COOPERATIVE CENTRAL BANK,505810001,APBL0020001,607501,Yes,Yes,Yes,TELANGANA STATE CO OP APEX BANK LTD,Indirect
524,KDIX,SHREE KADI NAGARIK SAHAKARI BANK LTD,380802006,YESB0KNB002,607975,Yes,Yes,Yes,YES BANK,Indirect
525,KDNX,"THE KODINAR NAGRIK SAHAKARI BANK LIMITED,KODINAR",362810141,HDFC0CKNSBZ,NA,Yes,,Yes,HDFC BANK LTD,Indirect
526,KDUX,THE KODAGU DISTRICT CO-OP CENTRAL BANK LTD,NA,KSCB0011001,607743,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
527,KEJX,KEONJHAR CENTRAL CO OP BANK LTD,758800004,ORCB0KJR001,508760,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
528,KEMX,KERALA MERCANTILE COOP BANK LTD,673830002,IBKL0114KMB,NA,Yes,,Yes,IDBI BANK,Indirect
529,KESX,KESHAV SEHKARI BANK LTD,110094278,IBKL0413KSB,990298,Yes,Yes,Yes,THE DELHI STATE CO OP BANK LTD,Indirect
530,KGDX,THE KHAGARIA DISTRICT CENTRAL COOPERATIVE BANK LTD,851823002,IBKL01077KD,508824,Yes,,Yes,YES BANK,Indirect
531,KHAX,KHALILABAD NAGAR SAHKARI BANK LTD,272847202,YESB0KHBKGB,990068,Yes,Yes,Yes,ICICI BANK LTD,Indirect
532,KHCX,KHARDAH COOPERATIVE BANK LTD,700093267,ICIC00KDCBL,990277,Yes,Yes,Yes,ICICI BANK LTD,Indirect
533,KHDX,THE KHEDA PEOPLE'S CO-OPERATIVE BANK LIMITED,387810501,GSCB0UKPCBL,990194,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
534,KHNX,KOHINOOR SAHAKARI BANK LTD ICHALKARANJI,416826201,HDFC0CKSBL1,990213,Yes,,Yes,HDFC BANK LTD,Indirect
535,KHTX,KHURDA CENTRAL CO OP BANK LTD,752800518,ORCB0KHU001,NA,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
536,KHUX,THE KHAMGAON URBAN COOP BANK LTD,444825302,HDFC0CKUB01,608058,Yes,Yes,Yes,HDFC BANK LTD,Indirect
537,KICX,THE KAITHAL CENTRAL COOP BANK LTD,136841302,UTIB0KAIT01,508651,Yes,,Yes,AXIS BANK,Indirect
538,KJSB,THE KALYAN JANATA SAHAKARI BANK LTD.,400367001,KJSB0000001,607506,Yes,Yes,Yes,THE KALYAN JANATA SAHAKARI BANK LTD.,Direct
539,KKBK,KOTAK MAHINDRA BANK LTD,400485002,KKBK0RTGSMI,607420,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Direct
540,KKMX,KANKARIA MAINAGAR NAGRIK SAHAKARI BANK LTD,380303004,HDFC0CKMNSB,NA,Yes,Yes,Yes,HDFC BANK LTD,Indirect
541,KKSX,KUMBHI KASARI SAHKARI BANK LTD KUDITRE,416259256,IBKL0463KS1,990171,Yes,Yes,Yes,IDBI BANK,Indirect
542,KLGB,KERALA GRAMIN BANK,670480002,KLGB0000001,607476,Yes,Yes,Yes,KERALA GRAMIN BANK,Direct
543,KMCB,KOKAN MERCANTILE CO-OPERATIVE BANK LTD,400075001,KKBK0KMCB02,607446,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
544,KMCX,KRISHNA MERCANTILE CO-OP BANK LTD,462363002,UTIB0SKMCBL,990268,Yes,Yes,Yes,IDBI BANK,Indirect
545,KMNX,KOTA MAHILA NAGRIK SAHAKARI BANK LTD KOTA,324705002,YESB0KMNSB2,NA,Yes,,Yes,YES BANK,Indirect
546,KMSX,KOLHAPUR MAHILA SAHAKARI BANK LTD.,416401002,HDFC0CKMB01,607546,Yes,Yes,Yes,HDFC BANK LTD,Indirect
547,KNBX,THE KALOL NAGARIK SAHAKARI BANK LTD,380816001,IBKL01282KB,990154,Yes,Yes,Yes,IDBI BANK,Indirect
548,KNCX,THE KARNAL CENTRAL COOP BANK LTD,132817105,UTIB0KCCB01,607923,Yes,,Yes,AXIS BANK,Indirect
549,KNNX,SRI KANNIKAPARAMESWARI CO-OPERATIVE BANK LIMITED,577904002,IBKL0100SKP,508559,Yes,Yes,Yes,IDBI BANK,Indirect
550,KNSB,KURLA NAGARIK SAHAKARI BANK LTD,400077001,ICIC00KURLA,607799,Yes,Yes,Yes,ICICI BANK LTD,Indirect
551,KNSX,KISAN NAGARI SAHAKARI BANK MARYADIT PARBHANI,NA,UTIB0SKNSB2,NA,Yes,,Yes,AXIS BANK,Indirect
552,KOBX,THE KOPARGAON PEOPLES CO OP BANK LTD,NA,SVCB0035002,607634,Yes,,Yes,HDFC BANK LTD,Indirect
553,KOCX,KONOKLOTA MAHILA URBAN COOP BANK LTD,785814003,IBKL0743KMC,990108,Yes,Yes,Yes,IDBI BANK,Indirect
554,KODX,THE KODUNGALLUR TOWN CO-OPERATIVE BANK LTD,680841252,IBKL0269KTC,607703,Yes,Yes,Yes,ICICI BANK LTD,Indirect
555,KORX,KORAPUT CENTRAL CO OP BANK LTD,NA,ORCB0KPT001,508755,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
556,KOSX,KOTA NAGRIK SAHKARI BANK LTD KOTA,324617002,HDFC0CKNB02,990207,Yes,,Yes,HDFC BANK LTD,Indirect
557,KOTX,THE KODINAR TALUKA COOPERATIVE BANKING UNION LTD K,362809141,GSCB0KDT001,508670,Yes,,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
558,KOYX,THE KOYLANCHAL URBAN CO-OPERATIVE BANK LTD,826802002,HDFC0CKOUCB,990105,Yes,Yes,Yes,HDFC BANK LTD,Indirect
559,KPCX,KOLHAPUR DIST.CENTRAL CO-OP BANK LTD KOLHAPUR,416387002,IBKL0463KDC,607749,Yes,Yes,Yes,IDBI BANK,Indirect
560,KRCX,THE KOLAR AND CHICKBALLAPUR DT CO OP CENTRAL BANK,NA,KSCB0003001,508690,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
561,KRDX,THE KRISHNA DISTRICT COOPERATIVE BANK,520650002,APBL0006001,607491,Yes,Yes,Yes,THE ANDHRA PRADESH STATE CO OP BANK LTD,Indirect
562,KRIX,THE KRISHNAGAR CITY CO OPERATIVE BANK LTD,741865102,HDFC0CKCCBL,990027,Yes,Yes,Yes,HDFC BANK LTD,Indirect
563,KRMX,KARAMANA COOPERATIVE URBAN BANK LTD,695856002,KKBK0KCUB01,NA,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
564,KRNX,THE KARNAVATI CO.OP. BANK LTD,380803002,KKBK0TKCB01,607801,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
565,KRTX,THE KRANTHI CO OPERATIVE URBAN BANK LTD,500259254,UTIB0SKRN01,608425,Yes,Yes,Yes,IDBI BANK,Indirect
566,KSBX,KRISHNA SAHAKARI BANK LTD RETHARE BK,415804352,IBKL0470KRS,990192,Yes,Yes,Yes,IDBI BANK,Indirect
567,KSCB,THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD.,560226001,KSCB0000001,607661,Yes,Yes,Yes,THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD.,Direct
568,KSCX,KERALA STATE CO-OPERATIVE BANK LTD,695177010,IBKL046KS01,608165,Yes,Yes,Yes,IDBI BANK,Indirect
569,KSMX,THE KOSAMBA MERCANTILE CO-OP BANK LTD,394803101,GSCB0UKMCBL,NA,Yes,,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
570,KSNX,KOTESHWARA SAHAKARI BANK NIYAMITHA,560240253,HDFC0CKSBNB,608024,Yes,Yes,Yes,HDFC BANK LTD,Indirect
571,KSTX,THE KASARAGOD COOPERATIVE TOWN BANK LTD NO 970,671812002,IBKL0450KCT,508958,Yes,,Yes,IDBI BANK,Indirect
572,KSUX,KASHIPUR URBAN CO OPERATIVE BANK LTD,244851202,HDFC0CKUCPL,990039,Yes,Yes,Yes,HDFC BANK LTD,Indirect
573,KTCX,THE KAPURTHALA CENTRAL COOPERATIVE BANK LTD,144808202,UTIB0SKPT01,607677,Yes,Yes,Yes,AXIS BANK,Indirect
574,KTDX,THE KATIHAR DISTRICT CENTRAL COOPERATIVE BANK LTD,NA,YESB0KCCB01,608155,Yes,,Yes,YES BANK,Indirect
575,KTTX,"THE TUMKUR DISTRICT CENTRAL BANK LTD,TUMKUR",572804019,NA,508940,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
576,KUBX,THE KADUTHURUTHY URBAN CO OP BANK LTD,686847402,UTIB0SKU399,508967,Yes,,Yes,AXIS BANK,Indirect
577,KUCB,THE KARAD URBAN CO-OP BANK LTD,415488353,KUCB0488036,607106,Yes,Yes,Yes,THE KARAD URBAN CO-OP BANK LTD,Direct
578,KUCX,THE KOLHAPUR URBAN CO-OP BANK LTD,411398002,HDFC0CKUCBL,607289,Yes,Yes,Yes,HDFC BANK LTD,Indirect
579,KUKX,THE KUKARWADA NAGARIK SAHAKARI BANK LTD,382434042,HDFC0CTKNSB,990012,Yes,Yes,Yes,HDFC BANK LTD,Indirect
580,KULX,THE KODOLI URBAN CO-OP BANK LTD KODOLI,416259269,IBKL0116KUC,990196,Yes,,Yes,IDBI BANK,Indirect
581,KUMX,THE KUMBAKONAM CENTRAL CO-OPERATIVE BANK LTD,612800002,TNSC0010400,508720,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
582,KUNS,THE KURMANCHAL NAGAR SAHKARI BANK LTD,263846000,KNSB0000001,607156,Yes,Yes,Yes,THE KURMANCHAL NAGAR SAHKARI BANK LTD,Direct
583,KUOB,THE KONARK URBAN COÂ­OP BANK LTD,400843002,YESB0KNUCB1,607594,Yes,,Yes,YES BANK,Indirect
584,KURX,THE KURUKSHETRA CENTRAL COOPERATIVE BANK LTD,136802002,UTIB0KURU01,607806,Yes,,Yes,AXIS BANK,Indirect
585,KUTX,KUTTIADY CO OP URBAN BANK LTD,673853801,IBKL01307KU,508865,Yes,,Yes,IDBI BANK,Indirect
586,KVBL,KARUR VYSA BANK,600053001,KVBL0001260,607100,Yes,Yes,Yes,KARUR VYSA BANK,Direct
587,KVCX,KAVITA URBAN COOP BANK LTD,413240252,HDFC0CKUCBS,NA,Yes,Yes,Yes,HDFC BANK LTD,Indirect
588,KVGB,KARNATAKA VIKAS GRAMEENA BANK,580483017,KVGB0000001,607122,Yes,Yes,Yes,KARNATAKA VIKAS GRAMEENA BANK,Direct
589,KYDX,KALABURAGI AND YADGIR DIST CO OP CENTRAL BANK LTD,585801002,KSCB0017001,607463,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
590,LATX,THE LATUR URBAN COOP BANK LTD LATUR,413804052,IBKL0497LUC,607247,Yes,Yes,Yes,IDBI BANK,Indirect
591,LBMX,LAXMIBAI MAHILA NAGRIK SAHAKARI BANK MARADIT,474497001,ICIC00LMNSB,NA,Yes,Yes,Yes,ICICI BANK LTD,Indirect
592,LCBX,LALBAUG CO-OPERATIVE BANK LIMITED,NA,HDFC0CLCBLO,990245,Yes,,Yes,HDFC BANK LTD,Indirect
593,LCCX,THE LUDHIANA CENTRAL COOPERATIVE BANK LTD,141379002,UTIB0SLDH01,607558,Yes,Yes,Yes,AXIS BANK,Indirect
594,LDCX,THE LATUR DISTRICT CENTRAL CO OP BANK LTD,413862227,IBKL0497LDC,508667,Yes,Yes,Yes,IDBI BANK,Indirect
595,LDPX,LOKNETE DATTAJI PATIL SAHAKARI BANK LTD,422807152,UTIB0SLDP47,508816,Yes,Yes,Yes,AXIS BANK,Indirect
596,LECX,"LIC EMPLOYEES CO-OPERATIVE BANK LTD,UDUPI",576259258,IBKL0186LEC,990168,Yes,,Yes,IDBI BANK,Indirect
597,LICB,LILUAH CO-OPERATIVE BANK LTD,700103002,HDFC0CLLC02,990003,Yes,Yes,Yes,HDFC BANK LTD,Indirect
598,LKCX,THE LITTLE KANCHEEPURAM CO-OP URBAN BANK LTD,600091281,NA,NA,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
599,LKHX,LAKHIMPUR URBAN COOPERATIVE BANK LTD,262829702,YESB0LUBLMP,608191,Yes,Yes,Yes,YES BANK,Indirect
600,LKMX,LOKMANGAL CO-OP. BANK LTD. SOLAPUR,413604002,IBKL0478LOK,508719,Yes,Yes,Yes,IDBI BANK,Indirect
601,LMNX,LAXMI MAHILA NAGRIK SAHAKARI BANK MARYADIT,492493002,YESB0LMNSB2,990109,Yes,Yes,Yes,YES BANK,Indirect
602,LNSX,THE LUNAWADA NAGARIK SAHAKARI BANK LTD,389811061,UTIB0SLNSB1,508702,Yes,,Yes,AXIS BANK,Indirect
603,LOKX,LOKVIKAS NAGARI SAHAKARI BANK LTD AURANGABAD,431661001,YESB0LNSB01,608388,Yes,Yes,Yes,YES BANK,Indirect
604,LONX,LONAVALA SAHAKARI BANK LTD,411259263,HDFC0CLSABL,607942,Yes,Yes,Yes,IDBI BANK,Indirect
605,LULX,LAXMI URBANCOOP BANK LTD LATUR,413811052,ICIC00LUCBL,990269,Yes,,Yes,ICICI BANK LTD,Indirect
606,MABL,THE MALLESHWARAM CO-OP BANK LTD,560227000,HDFC0CMCOBL,990260,Yes,Yes,Yes,HDFC BANK LTD,Indirect
607,MADX,MADHYANCHAL GRAMIN BANK,473741545,SBIN0RRMBGB,607232,Yes,Yes,Yes,STATE BANK OF INDIA,Indirect
608,MAHB,BANK OF MAHARASHTRA,411014000,MAHB0003007,607387,Yes,Yes,Yes,BANK OF MAHARASHTRA,Direct
609,MAHX,SHREE MAHALAXMI URBAN CO-OP CREDIT BANK LTD.,591851502,SVCB0012002,607680,Yes,Yes,Yes,SVC CO OP BANK LTD,Indirect
610,MAJX,MANJERI CO OPERATIVE URBAN BANK LTD,676821052,ICIC00MCUBL,508964,Yes,Yes,Yes,ICICI BANK LTD,Indirect
611,MAKX,THE MAKARPURA INDUSTRIAL ESTATE COOP BANK LTD,390159002,YESB0MIEB02,607224,Yes,Yes,Yes,YES BANK,Indirect
612,MALX,MALVIYA URBAN CO OPERATIVE BANK LTD,302834007,HDFC0CMUCBL,990254,Yes,Yes,Yes,HDFC BANK LTD,Indirect
613,MAMX,THE MANDVI MERCANTILE COOP BANK LTD,370806101,UTIB0SMMCB1,NA,Yes,,Yes,ICICI BANK LTD,Indirect
614,MANX,THE MANSA NAGARIK SAHAKARI BANK LTD,380807002,YESB0TMNS02,990077,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
615,MAPX,MAHARANA PRATAP COOPERATIVE URBAN BANK LTD,500259252,ICIC00MPCUB,NA,Yes,,Yes,IDBI BANK,Indirect
616,MASX,MAHESH URBAN CO-OPERATIVE BANK LTD SOLAPUR,413598002,IBKL0478MCB,NA,Yes,Yes,Yes,IDBI BANK,Indirect
617,MAVX,SHREE MAHAVIR SAHAKARI BANK LTD,431823002,KKBK0SMSB01,NA,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
618,MAWX,THE MANIPUR WOMENS CO OP BANK LTD,795810002,YESB0MWCB01,NA,Yes,,Yes,YES BANK,Indirect
619,MAYX,THE MAYANI URBAN CO OP BANK LTD MAYANI,NA,ICIC00TMUCB,508567,Yes,,Yes,ICICI BANK LTD,Indirect
620,MBCX,THE MUGBERIA CENTRAL CO-OPERATIVE BANK LTD,721812901,WBSC0MGCB01,607182,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
621,MBGX,MADYA BIHAR GRAMIN BANK,801811102,PUNB0MBGB06,607136,Yes,Yes,Yes,PUNJAB NATIONAL BANK,Indirect
622,MBLX,THE MANMANDIR CO-OP BANK LTD,415812476,ICIC00MMCBL,990137,Yes,,Yes,ICICI BANK LTD,Indirect
623,MCAX,MAHESH URBAN COOP BANK LTD AHMEDPUR,413824052,ICIC00MUCBA,608038,Yes,Yes,Yes,ICICI BANK LTD,Indirect
624,MCBL,THE MAHANAGAR CO-OP. BANK LTD.,400096009,MCBL0960009,607320,Yes,Yes,Yes,THE MAHANAGAR CO-OP. BANK LTD.,Direct
625,MCBX,THE MODERN CO-OP. BANK LTD.,424865202,NA,607582,Yes,,Yes,HDFC BANK LTD,Indirect
626,MCCX,THE MUKTSAR CENTRAL CO-OPERATED BANK LTD,152837110,UTIB0SMCC01,607552,Yes,Yes,Yes,AXIS BANK,Indirect
627,MCDX,MUZAFFARNAGAR DISTRICT COOPERATIVE BANK LTD,251807154,ICIC00MUZAF,607845,Yes,Yes,Yes,ICICI BANK LTD,Indirect
628,MCLX,THE MAHENDRAGARH CENTRAL CO-OP BANK LTD,123839000,UTIB0SMCCB1,508652,Yes,,Yes,AXIS BANK,Indirect
629,MCOX,MAHESH URBAN CO-OPERATIVE BANK LTD PARBHANI,431851202,UTIB0SMUCB1,990281,Yes,Yes,Yes,AXIS BANK,Indirect
630,MCSX,THE MATTANCHERRY SARVAJANIK COOP BANK LTD,682859002,KKBK0MSCB01,NA,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
631,MCUX,MAHAVEER CO-OPERATIVE URBAN BANK LIMITED,500240257,HDFC0CMCUBL,607587,Yes,Yes,Yes,HDFC BANK LTD,Indirect
632,MDCB,MUMBAI DISTRICT CENTRAL CO-OP BANK LTD,400068001,MDCB0680001,607272,Yes,Yes,Yes,MUMBAI DISTRICT CENTRAL CO-OP BANK LTD,Direct
633,MDCX,THE MADURAI DISTRICT CENTRAL COOPERATIVE BANK LTD,625306002,TNSC0010600,508681,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
634,MDEX,MODEL CO-OPERATIVE BANK LTD,400807002,MDBK0000001,607304,Yes,Yes,Yes,MODEL CO-OPERATIVE BANK LTD,Direct
635,MDGX,RAJASTHAN MARUDHARA GRAMIN BANK,302348002,SBIN0RRMRGB,607509,Yes,Yes,Yes,STATE BANK OF INDIA,Indirect
636,MDIX,MANDYA DISTRICT CO-OPERATIVE CENTRAL BANK LIMITED,571841502,KSCB0008001,607971,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
637,MDMX,MANN DESHI MAHILA SAHKARI BANK LTD,415867501,YESB0MAN001,608133,Yes,,Yes,YES BANK,Indirect
638,MDPX,MD PAWAR PEOPLES COOP BANK LTD URUN ISLAMPUR,415813101,ICIC00MDPPC,NA,Yes,,Yes,ICICI BANK LTD,Indirect
639,MEDX,THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD.MEDAK,502816307,APBL0017001,607504,Yes,Yes,Yes,TELANGANA STATE CO OP APEX BANK LTD,Indirect
640,MERX,MEGHALAYA RURAL BANK,793620002,SBIN0RRMEGB,607206,Yes,Yes,Yes,STATE BANK OF INDIA,Indirect
641,MEUX,THE MEENACHIL EAST URBAN COOPERATIVE BANK LTD,686837103,FDRL01MEUCB,607827,Yes,,Yes,FEDERAL BANK,Indirect
642,MFCX,THE MUZAFFARPUR CENTRAL COOPERATIVE BANK LIMITED,NA,IBKL0294MCC,608121,Yes,,Yes,ICICI BANK LTD,Indirect
643,MFUX,"MAHATMA FULE URBAN COOP BANK LTD.,AMRAVATI",444813102,HDFC0CMFUCB,NA,Yes,,Yes,IDBI BANK,Indirect
644,MGBX,MAHARASHTRA GRAMIN BANK,431570000,MAHG0004000,607000,Yes,Yes,Yes,BANK OF MAHARASHTRA,Indirect
645,MGCB,THE MOGAVEERA CO-OPERATIVE BANK LTD,400084001,IBKL0452MCB,607196,Yes,Yes,Yes,IDBI BANK,Indirect
646,MGCX,MANSING CO-OPERATIVE BANK LTD.,416907276,HDFC0CMCBLD,607635,Yes,Yes,Yes,HDFC BANK LTD,Indirect
647,MGDX,THE MAGADH CENTRAL COOPERATIVE BANK LTD,NA,IBKL0414MCB,608174,Yes,,Yes,YES BANK,Indirect
648,MGSX,MANGALDAI NAGAR SAMABAI BANK LTD,784816102,UTIB0SMNSB1,NA,Yes,Yes,Yes,AXIS BANK,Indirect
649,MHCB,MIZUHO BANK LTD.,400694002,MHCB0000532,NA,Yes,Yes,,MIZUHO BANK LTD.,Direct
650,MHCX,MAHOBA URBAN COOPERATIVE BANK LTD MAHOBA,210211251,UTIB0SMUC12,990150,Yes,Yes,Yes,AXIS BANK,Indirect
651,MHLX,MAHILA CO-OPERATIVE BAK LTD,560267002,NA,NA,Yes,Yes,Yes,SARASWAT BANK,Indirect
652,MHMX,SHRI MAHALAXMI CO-OP BAK LTD KOLHAPUR,416389001,IBKL0116MCO,607284,Yes,Yes,Yes,IDBI BANK,Indirect
653,MHNX,MAHANAGAR NAGRIK SAHAKARI BANK MARYADIT,462341002,YESB0MNSB01,607154,Yes,Yes,Yes,IDBI BANK,Indirect
654,MHSX,MAHESH SAHAKARI BANK LTD PUNE,411175001,HDFC0CMASBL,607770,Yes,Yes,Yes,HDFC BANK LTD,Indirect
655,MHUX,MAHESH URBANK CO-OP BANK LTD PARLI V.,431851352,ICIC00MAUCB,990229,Yes,,Yes,ICICI BANK LTD,Indirect
656,MIZX,THE MIZORAM COOPERATIVE APEX BANK LTD,796806002,YESB0MAB001,607706,Yes,Yes,Yes,YES BANK,Indirect
657,MJCX,THE MONGHYR JAMUI CENTRAL CO-OPERATIVE BANK LTD,NA,IBKL01078MJ,508891,Yes,,Yes,IDBI BANK,Indirect
658,MKYX,MARKETYARD COMMERCIAL CO-OPBANK LIMITED,384808051,GSCB0UMCCBL,990252,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
659,MLCG,THE MERCHANTS LIBERAL COOP BANK LTD GADAG,582802002,UTIB0SMLCBK,NA,Yes,,Yes,AXIS BANK,Indirect
660,MLDX,MALDA DISTRICT CENTRAL COOPERATIVE BANK LTD,732802102,WBSC0MALD15,607175,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
661,MMCX,THE MATTANCHERRY MAHAJANIK CO-OP URBAN BANK LTD,628858002,KKBK0MMCB01,NA,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
662,MMMX,MAHILA NAGRIK SAHAKARI BANK MARYADIT MAHASAMUND,493863101,HDFC0CMNSBM,990216,Yes,,Yes,HDFC BANK LTD,Indirect
663,MNBX,"MAHILA COOP NAGARIK BANK LTD,BHARUCH",392802001,HDFC0CTMCNB,508939,Yes,,Yes,HDFC BANK LTD,Indirect
664,MNCX,THE MANSA CENTRAL CO-OPERATIVE BANK LTD.,151829054,UTIB0SMSA01,607565,Yes,Yes,Yes,AXIS BANK,Indirect
665,MNSX,THE MEHSANA NAGARIK SAHAKARI BANK LTD,382807141,IBKL0443MNB,607667,Yes,Yes,Yes,IDBI BANK,Indirect
666,MOGX,THE MOGA CENTRAL COOPERATIVE BANK LTD,142803002,UTIB0SMCB01,607564,Yes,Yes,Yes,AXIS BANK,Indirect
667,MOUX,MOHOL URBAN CO OPERATIVE BANK LTD,813858501,NA,NA,Yes,,Yes,HDFC BANK LTD,Indirect
668,MPCX,THE MOIRANG PRIMARY CO-OPERATIVE BANK LTD,795826202,UTIB0SMPCB1,990253,Yes,Yes,Yes,AXIS BANK,Indirect
669,MPDX,THE MALAPPURAM DISTRICT CO-OPERATIVE BANK LIMITED,676822152,IBKL0209M01,607588,Yes,Yes,Yes,IDBI BANK,Indirect
670,MPRX,MADHTYA PRADESH RAJYA SAHAKARI BANK MARYADIT,462281002,CBIN0MPABAA,607738,Yes,Yes,Yes,ICICI BANK LTD,Indirect
671,MRBX,MANIPUR RURAL BANK,795614002,PUNB0RRBMRB,607062,Yes,Yes,Yes,PUNJAB NATIONAL BANK,Indirect
672,MRTX,MARATHA COOPERATIVE BANK LTD,590807002,IBKL0101MCB,990070,Yes,Yes,Yes,IDBI BANK,Indirect
673,MSAX,MANSAROVAR URBAN CO-OPERATIVE BANK LTD,226185263,SRCB0001MCB,607334,Yes,Yes,Yes,SARASWAT BANK,Indirect
674,MSBL,THE MALAD SAHAKARI BANK LTD,400079002,HDFC0CMALAD,508549,Yes,Yes,Yes,HDFC BANK LTD,Indirect
675,MSBX,M.S.CO-OPERATIVE BANK LTD,390320001,IBKL0553MSC,990098,Yes,Yes,Yes,IDBI BANK,Indirect
676,MSCI,MAHARASHTRA STATE CO-OPERATIVE BANK LTD,400082002,MSCI0082002,607315,Yes,Yes,Yes,MAHARASHTRA STATE CO-OPERATIVE BANK LTD,Direct
677,MSCX,THE MANIPUR STATE CO OPERATIVE BANK LTD,795808002,YESB0MSCB01,508795,Yes,Yes,Yes,YES BANK,Indirect
678,MSNU,THE MEHSANA URBAN CO-OPERATIVE BANK,384313001,MSNU0000001,607084,Yes,Yes,Yes,THE MEHSANA URBAN CO-OPERATIVE BANK,Direct
679,MSNX,THE MEHSANA DISTRICT CENTRAL CO OP BANK LTD,380124256,GSCB0MSN001,607870,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
680,MSOX,MANORAMA CO-OP BANK LTD SOLAPUR,413596002,HDFC0CMANCB,NA,Yes,Yes,Yes,HDFC BANK LTD,Indirect
681,MSSX,THE MERCHANTS SOUHARDA SAHAKARA BANK NIYAMITA,577894502,IBKL01241MB,608455,Yes,,Yes,AXIS BANK,Indirect
682,MUBL,THE MUNICIPAL CO-OP BANK LTD,400110002,MUBL0000001,607143,Yes,Yes,Yes,THE MUNICIPAL CO-OP BANK LTD,Direct
683,MUBX,THE MAHARAJA CO-OPERATIVE URBAN BANK LTD,530259251,IBKL0031MCB,NA,Yes,Yes,Yes,IDBI BANK,Indirect
684,MUCG,THE MERCHANTS URBAN COOP BANK LTD GADAG,582883002,UTIB0SMUCBG,NA,Yes,,Yes,AXIS BANK,Indirect
685,MUDX,MADHESHWARI URBAN DEVELOPMENT CO OP BANK LTD,413915501,HDFC0CMUDCB,608055,Yes,,Yes,HDFC BANK LTD,Indirect
686,MUNX,THE MAHUDHA NAGARIK SAHAKARI BANK LTD,387808501,UTIB0STMNBI,990013,Yes,,Yes,AXIS BANK,Indirect
687,MUPX,THE MEHMADABAD URBAN PEOPLES CO-OP BANK LTD,387809501,ICIC00MUPCB,608187,Yes,Yes,Yes,ICICI BANK LTD,Indirect
688,MURX,THE MURSHIDABAD DISTRICT CENTRAL CO-OP BANK LTD.,742806003,WBSC0MCCB01,607181,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
689,MUSX,THE MUSLIM CO-OPERATIVE BANK LTD,411165001,HDFC0CMUSLM,607702,Yes,Yes,Yes,HDFC BANK LTD,Indirect
